emotion_code,emotion,intensity,statement,repetition,actor,sex,path,stress,MFCC_Mean,MFCC_Variance,Pitch_Mean,Speech_Rate
3,happy,1,1,2,2,F,dataset/Audios/Actor_02/03-01-03-01-01-02-02.wav,Healthy,-36.39249038696289,12564.3583984375,223.10648385440984,3.409090909090909
3,happy,1,2,1,2,F,dataset/Audios/Actor_02/03-01-03-01-02-01-02.wav,Healthy,-39.72443389892578,12881.4482421875,242.58857779956992,3.289473684210526
3,happy,1,2,2,2,F,dataset/Audios/Actor_02/03-01-03-01-02-02-02.wav,Healthy,-36.85846710205078,12602.75,241.19137040474044,3.3482142857142856
3,happy,2,1,1,2,F,dataset/Audios/Actor_02/03-01-03-02-01-01-02.wav,Healthy,-36.67763137817383,7200.7861328125,243.99794954840513,3.6764705882352944
3,happy,2,1,2,2,F,dataset/Audios/Actor_02/03-01-03-02-01-02-02.wav,Healthy,-34.5206184387207,7290.62109375,227.65433896553017,3.605769230769231
3,happy,2,2,1,2,F,dataset/Audios/Actor_02/03-01-03-02-02-01-02.wav,Healthy,-37.67211151123047,9857.2021484375,258.50251019256234,3.4722222222222223
3,happy,2,2,2,2,F,dataset/Audios/Actor_02/03-01-03-02-02-02-02.wav,Healthy,-38.184104919433594,9767.5009765625,227.65433896553017,3.1779661016949152
4,sad,1,1,1,2,F,dataset/Audios/Actor_02/03-01-04-01-01-01-02.wav,Mild_Stress,-41.89527893066406,19022.365234375,215.49946785860993,3.125
4,sad,1,1,2,2,F,dataset/Audios/Actor_02/03-01-04-01-01-02-02.wav,Mild_Stress,-38.80429458618164,17215.189453125,226.34314645699223,3.232758620689655
4,sad,1,2,1,2,F,dataset/Audios/Actor_02/03-01-04-01-02-01-02.wav,Mild_Stress,-42.888206481933594,18889.58203125,209.9692833680109,3.3482142857142856
4,sad,1,2,2,2,F,dataset/Audios/Actor_02/03-01-04-01-02-02-02.wav,Mild_Stress,-42.03845977783203,20035.5625,214.25828225620023,3.232758620689655
4,sad,2,1,1,2,F,dataset/Audios/Actor_02/03-01-04-02-01-01-02.wav,Mild_Stress,-43.20972442626953,17131.158203125,280.2753675911423,3.4722222222222223
4,sad,2,1,2,2,F,dataset/Audios/Actor_02/03-01-04-02-01-02-02.wav,Mild_Stress,-41.652008056640625,18368.185546875,254.06159179290393,3.232758620689655
4,sad,2,2,1,2,F,dataset/Audios/Actor_02/03-01-04-02-02-01-02.wav,Mild_Stress,-44.32606887817383,16991.048828125,261.5061646776419,3.409090909090909
4,sad,2,2,2,2,F,dataset/Audios/Actor_02/03-01-04-02-02-02-02.wav,Mild_Stress,-43.473655700683594,17294.37890625,274.66713694083705,3.409090909090909
5,angry,1,1,1,2,F,dataset/Audios/Actor_02/03-01-05-01-01-01-02.wav,Moderate_Stress,-32.05308532714844,11062.49609375,263.0210544784999,3.4722222222222223
5,angry,1,1,2,2,F,dataset/Audios/Actor_02/03-01-05-01-01-02-02.wav,Moderate_Stress,-32.237388610839844,10526.7666015625,266.0772119191614,3.0737704918032787
5,angry,1,2,1,2,F,dataset/Audios/Actor_02/03-01-05-01-02-01-02.wav,Moderate_Stress,-34.04668045043945,11132.3076171875,249.80111154566143,3.232758620689655
5,angry,1,2,2,2,F,dataset/Audios/Actor_02/03-01-05-01-02-02-02.wav,Moderate_Stress,-35.299381256103516,10643.9111328125,247.54388423192165,3.232758620689655
5,angry,2,1,1,2,F,dataset/Audios/Actor_02/03-01-05-02-01-01-02.wav,Moderate_Stress,-29.92988395690918,6028.28759765625,355.1704667561429,3.125
5,angry,2,1,2,2,F,dataset/Audios/Actor_02/03-01-05-02-01-02-02.wav,Moderate_Stress,-29.996076583862305,6500.55908203125,325.6927540422733,3.024193548387097
5,angry,2,2,1,2,F,dataset/Audios/Actor_02/03-01-05-02-02-01-02.wav,Moderate_Stress,-34.92668914794922,4744.69287109375,345.0594530080277,3.0737704918032787
5,angry,2,2,2,2,F,dataset/Audios/Actor_02/03-01-05-02-02-02-02.wav,Moderate_Stress,-35.16691207885742,5365.7060546875,321.02470058390634,2.9296875
6,fearful,1,1,1,2,F,dataset/Audios/Actor_02/03-01-06-01-01-01-02.wav,Moderate_Stress,-39.49382781982422,10666.9912109375,316.4209135543536,3.537735849056604
6,fearful,1,1,2,2,F,dataset/Audios/Actor_02/03-01-06-01-01-02-02.wav,Moderate_Stress,-40.43925094604492,10775.43359375,323.816901813294,3.409090909090909
6,fearful,1,2,1,2,F,dataset/Audios/Actor_02/03-01-06-01-02-01-02.wav,Moderate_Stress,-39.91301727294922,10151.8251953125,318.2539212592103,3.409090909090909
6,fearful,1,2,2,2,F,dataset/Audios/Actor_02/03-01-06-01-02-02-02.wav,Moderate_Stress,-42.40382385253906,10707.177734375,339.1315381390467,3.3482142857142856
6,fearful,2,1,1,2,F,dataset/Audios/Actor_02/03-01-06-02-01-01-02.wav,Moderate_Stress,-41.05673599243164,8706.283203125,212.40900892134297,3.409090909090909
6,fearful,2,1,2,2,F,dataset/Audios/Actor_02/03-01-06-02-01-02-02.wav,Moderate_Stress,-40.14654541015625,7576.52685546875,233.65031358796176,3.6764705882352944
6,fearful,2,2,1,2,F,dataset/Audios/Actor_02/03-01-06-02-02-01-02.wav,Moderate_Stress,-39.50543975830078,6672.24755859375,363.47218288654506,3.75
6,fearful,2,2,2,2,F,dataset/Audios/Actor_02/03-01-06-02-02-02-02.wav,Moderate_Stress,-39.607177734375,8288.890625,223.74710626953689,3.75
7,disgust,1,1,1,2,F,dataset/Audios/Actor_02/03-01-07-01-01-01-02.wav,Severe_Stress,-37.84146499633789,15245.9638671875,211.1856230526212,3.232758620689655
7,disgust,1,1,2,2,F,dataset/Audios/Actor_02/03-01-07-01-01-02-02.wav,Severe_Stress,-38.52552032470703,14858.3203125,211.1856230526212,3.4722222222222223
7,disgust,1,2,1,2,F,dataset/Audios/Actor_02/03-01-07-01-02-01-02.wav,Severe_Stress,-38.30350112915039,14794.0341796875,213.63948179230545,3.024193548387097
7,disgust,1,2,2,2,F,dataset/Audios/Actor_02/03-01-07-01-02-02-02.wav,Severe_Stress,-40.243873596191406,13624.951171875,217.37383415501247,3.1779661016949152
7,disgust,2,1,1,2,F,dataset/Audios/Actor_02/03-01-07-02-01-01-02.wav,Severe_Stress,-37.79365921020508,11787.986328125,241.19137040474044,2.7173913043478257
7,disgust,2,1,2,2,F,dataset/Audios/Actor_02/03-01-07-02-01-02-02.wav,Severe_Stress,-35.020118713378906,12195.314453125,246.11813637218768,2.8846153846153846
7,disgust,2,2,1,2,F,dataset/Audios/Actor_02/03-01-07-02-02-01-02.wav,Severe_Stress,-38.25680923461914,11121.2958984375,243.99387913449723,2.840909090909091
7,disgust,2,2,2,2,F,dataset/Audios/Actor_02/03-01-07-02-02-02-02.wav,Severe_Stress,-37.04706954956055,11132.703125,230.29955496661373,2.8846153846153846
8,surprised,1,1,1,2,F,dataset/Audios/Actor_02/03-01-08-01-01-01-02.wav,Mild_Stress,-32.671913146972656,9550.7373046875,246.83306915697432,3.90625
8,surprised,1,1,2,2,F,dataset/Audios/Actor_02/03-01-08-01-01-02-02.wav,Mild_Stress,-35.281036376953125,11367.546875,257.013645291753,3.6764705882352944
8,surprised,1,2,1,2,F,dataset/Audios/Actor_02/03-01-08-01-02-01-02.wav,Mild_Stress,-36.08657455444336,10757.6181640625,230.3149229313189,3.6764705882352944
8,surprised,1,2,2,2,F,dataset/Audios/Actor_02/03-01-08-01-02-02-02.wav,Mild_Stress,-36.55959701538086,10500.953125,245.40732129724032,3.75
8,surprised,2,1,1,2,F,dataset/Audios/Actor_02/03-01-08-02-01-01-02.wav,Mild_Stress,-30.553466796875,9245.1640625,246.1263480756028,3.3482142857142856
8,surprised,2,1,2,2,F,dataset/Audios/Actor_02/03-01-08-02-01-02-02.wav,Mild_Stress,-32.18730926513672,9302.6328125,252.59830469993753,3.289473684210526
8,surprised,2,2,1,2,F,dataset/Audios/Actor_02/03-01-08-02-02-01-02.wav,Mild_Stress,-34.363582611083984,8737.19921875,263.0210544784999,3.3482142857142856
8,surprised,2,2,2,2,F,dataset/Audios/Actor_02/03-01-08-02-02-02-02.wav,Mild_Stress,-36.3913688659668,8610.912109375,249.6969657132611,3.232758620689655
1,neutral,1,1,1,3,M,dataset/Audios/Actor_03/03-01-01-01-01-01-03.wav,Healthy,-34.11174011230469,14041.064453125,167.61814009714527,3.826530612244898
1,neutral,1,1,2,3,M,dataset/Audios/Actor_03/03-01-01-01-01-02-03.wav,Healthy,-31.27981758117676,14871.916015625,152.06526152869765,3.6764705882352944
1,neutral,1,2,1,3,M,dataset/Audios/Actor_03/03-01-01-01-02-01-03.wav,Healthy,-32.91802215576172,13486.6259765625,146.76537262479707,3.6764705882352944
1,neutral,1,2,2,3,M,dataset/Audios/Actor_03/03-01-01-01-02-02-03.wav,Healthy,-33.16748809814453,13349.4365234375,154.59692495035372,3.826530612244898
2,calm,1,1,1,3,M,dataset/Audios/Actor_03/03-01-02-01-01-01-03.wav,Healthy,-32.37645721435547,16588.05859375,118.86722456458772,2.9296875
2,calm,1,1,2,3,M,dataset/Audios/Actor_03/03-01-02-01-01-02-03.wav,Healthy,-33.25972366333008,16214.2119140625,119.21052561660726,2.9296875
2,calm,1,2,1,3,M,dataset/Audios/Actor_03/03-01-02-01-02-01-03.wav,Healthy,-33.921241760253906,16932.76171875,105.5928115263106,2.7573529411764706
2,calm,1,2,2,3,M,dataset/Audios/Actor_03/03-01-02-01-02-02-03.wav,Healthy,-31.691251754760746,13551.6044921875,156.39325469067515,2.373417721518987
2,calm,2,1,1,3,M,dataset/Audios/Actor_03/03-01-02-02-01-01-03.wav,Healthy,-37.96331405639648,19020.23046875,119.9011051661721,1.8564356435643563
2,calm,2,1,2,3,M,dataset/Audios/Actor_03/03-01-02-02-01-02-03.wav,Healthy,-29.3505859375,10907.1337890625,152.82122781686914,2.6408450704225355
2,calm,2,2,1,3,M,dataset/Audios/Actor_03/03-01-02-02-02-01-03.wav,Healthy,-28.89358901977539,13190.4443359375,148.4707041104003,2.1551724137931036
2,calm,2,2,2,3,M,dataset/Audios/Actor_03/03-01-02-02-02-02-03.wav,Healthy,-31.129011154174805,14212.5341796875,150.19585059339548,2.205882352941176
3,happy,1,1,1,3,M,dataset/Audios/Actor_03/03-01-03-01-01-01-03.wav,Healthy,-31.949066162109375,11317.064453125,202.8169587634771,3.1779661016949152
3,happy,1,1,2,3,M,dataset/Audios/Actor_03/03-01-03-01-01-02-03.wav,Healthy,-34.34763717651367,9817.6865234375,232.97550689710764,3.289473684210526
3,happy,1,2,1,3,M,dataset/Audios/Actor_03/03-01-03-01-02-01-03.wav,Healthy,-34.235103607177734,9708.9345703125,189.23491376948436,3.537735849056604
3,happy,1,2,2,3,M,dataset/Audios/Actor_03/03-01-03-01-02-02-03.wav,Healthy,-34.543922424316406,11580.8876953125,197.6138833348004,3.605769230769231
3,happy,2,1,1,3,M,dataset/Audios/Actor_03/03-01-03-02-01-01-03.wav,Healthy,-29.452293395996097,7064.04541015625,266.0772119191614,2.5
3,happy,2,1,2,3,M,dataset/Audios/Actor_03/03-01-03-02-01-02-03.wav,Healthy,-30.24247932434082,5914.08544921875,258.50251019256234,2.373417721518987
3,happy,2,2,1,3,M,dataset/Audios/Actor_03/03-01-03-02-02-01-03.wav,Healthy,-27.00668716430664,5711.93798828125,286.82649376257405,2.106741573033708
3,happy,2,2,2,3,M,dataset/Audios/Actor_03/03-01-03-02-02-02-03.wav,Healthy,-29.05606460571289,7057.80517578125,250.42020561686047,2.604166666666667
4,sad,1,1,1,3,M,dataset/Audios/Actor_03/03-01-04-01-01-01-03.wav,Mild_Stress,-36.06550598144531,18497.669921875,137.7302022667084,3.1779661016949152
4,sad,1,1,2,3,M,dataset/Audios/Actor_03/03-01-04-01-01-02-03.wav,Mild_Stress,-39.0153923034668,25181.548828125,150.19585059339548,2.314814814814815
4,sad,1,2,1,3,M,dataset/Audios/Actor_03/03-01-04-01-02-01-03.wav,Mild_Stress,-36.68901824951172,18631.392578125,150.19585059339548,2.568493150684932
4,sad,1,2,2,3,M,dataset/Audios/Actor_03/03-01-04-01-02-02-03.wav,Mild_Stress,-37.1954231262207,20600.111328125,153.26898363165782,2.435064935064935
4,sad,2,1,1,3,M,dataset/Audios/Actor_03/03-01-04-02-01-01-03.wav,Mild_Stress,-42.09440612792969,14681.2021484375,207.55758045272896,2.314814814814815
4,sad,2,1,2,3,M,dataset/Audios/Actor_03/03-01-04-02-01-02-03.wav,Mild_Stress,-36.34453201293945,13407.77734375,299.55661809217594,2.106741573033708
4,sad,2,2,1,3,M,dataset/Audios/Actor_03/03-01-04-02-02-01-03.wav,Mild_Stress,-33.62155532836914,14036.560546875,209.9692833680109,1.8667600046669
4,sad,2,2,2,3,M,dataset/Audios/Actor_03/03-01-04-02-02-02-03.wav,Mild_Stress,-30.33946990966797,12202.3486328125,200.48740730303228,2.314814814814815
5,angry,1,1,1,3,M,dataset/Audios/Actor_03/03-01-05-01-01-01-03.wav,Moderate_Stress,-32.35053253173828,17030.263671875,102.00273894856286,2.840909090909091
5,angry,1,1,2,3,M,dataset/Audios/Actor_03/03-01-05-01-01-02-03.wav,Moderate_Stress,-27.769634246826172,10150.2294921875,146.34271945250777,2.7573529411764706
5,angry,1,2,1,3,M,dataset/Audios/Actor_03/03-01-05-01-02-01-03.wav,Moderate_Stress,-29.54627799987793,11109.3349609375,124.84848285663055,3.024193548387097
5,angry,1,2,2,3,M,dataset/Audios/Actor_03/03-01-05-01-02-02-03.wav,Moderate_Stress,-32.96312713623047,13542.5146484375,158.21045677717683,2.0853698273053114
5,angry,2,1,1,3,M,dataset/Audios/Actor_03/03-01-05-02-01-01-03.wav,Moderate_Stress,-19.357141494750977,3369.91748046875,277.05613042340593,2.4038461538461537
5,angry,2,1,2,3,M,dataset/Audios/Actor_03/03-01-05-02-01-02-03.wav,Moderate_Stress,-18.90077781677246,3644.666259765625,273.87386934825736,2.373417721518987
5,angry,2,2,1,3,M,dataset/Audios/Actor_03/03-01-05-02-02-01-03.wav,Moderate_Stress,-19.696420669555664,3854.240478515625,264.5447199466984,2.533783783783784
5,angry,2,2,2,3,M,dataset/Audios/Actor_03/03-01-05-02-02-02-03.wav,Moderate_Stress,-18.24812126159668,3206.16015625,278.66110025943624,2.259036144578313
6,fearful,1,1,1,3,M,dataset/Audios/Actor_03/03-01-06-01-01-01-03.wav,Moderate_Stress,-33.36400604248047,14369.9287109375,134.5844400993791,2.7573529411764706
6,fearful,1,1,2,3,M,dataset/Audios/Actor_03/03-01-06-01-01-02-03.wav,Moderate_Stress,-31.570932388305664,10832.9208984375,155.49249582586248,2.6785714285714284
6,fearful,1,2,1,3,M,dataset/Audios/Actor_03/03-01-06-01-02-01-03.wav,Moderate_Stress,-29.061899185180664,8872.8291015625,160.04877373483913,3.605769230769231
6,fearful,1,2,2,3,M,dataset/Audios/Actor_03/03-01-06-01-02-02-03.wav,Moderate_Stress,-34.42413330078125,15510.28125,157.29923159850804,2.8846153846153846
6,fearful,2,1,1,3,M,dataset/Audios/Actor_03/03-01-06-02-01-01-03.wav,Moderate_Stress,-21.13140869140625,9257.451171875,219.90326490659413,2.0833333333333335
